shipment_id,order_id,supplier_id,warehouse,promised_date,delivery_date,fill_rate,delay_days,status
SHIP-50072,ORD-10072,Supplier A,WH-Atlantic,2026-06-03,2026-06-03,98.3,0,delivered
SHIP-50073,ORD-10073,Supplier B,WH-Atlantic,2026-06-03,2026-06-03,96.9,0,delivered
SHIP-50074,ORD-10074,Supplier B,WH-Southern,2026-06-03,2026-06-03,96.9,0,delivered
SHIP-50075,ORD-10075,Supplier D,WH-Midwest,2026-06-03,2026-06-03,93.3,0,delivered
SHIP-50076,ORD-10076,Supplier B,WH-Southern,2026-06-03,2026-06-03,98.0,0,delivered
SHIP-50077,ORD-10077,Supplier D,WH-Southern,2026-06-03,2026-06-03,97.0,0,delivered
SHIP-50078,ORD-10078,Supplier B,WH-Atlantic,2026-06-03,2026-06-05,98.8,2,delayed
SHIP-50079,ORD-10079,Supplier A,WH-Midwest,2026-06-03,2026-06-03,95.4,0,delivered
SHIP-50080,ORD-10080,Supplier D,WH-Midwest,2026-06-03,2026-06-03,93.6,0,delivered
SHIP-50081,ORD-10081,Supplier C,WH-Southern,2026-06-03,2026-06-03,92.7,0,delivered
SHIP-50082,ORD-10082,Supplier B,WH-Pacific,2026-06-03,2026-06-03,93.6,0,delivered
SHIP-50083,ORD-10083,Supplier C,WH-Pacific,2026-06-03,2026-06-03,93.0,0,delivered
SHIP-50084,ORD-10084,Supplier B,WH-Southern,2026-06-03,2026-06-03,97.8,0,delivered
SHIP-50085,ORD-10085,Supplier A,WH-Southern,2026-06-03,2026-06-03,97.1,0,delivered
SHIP-50086,ORD-10086,Supplier C,WH-Pacific,2026-06-03,2026-06-03,94.9,0,delivered
SHIP-50087,ORD-10087,Supplier A,WH-Midwest,2026-06-03,2026-06-03,95.4,0,delivered
SHIP-50088,ORD-10088,Supplier C,WH-Southern,2026-06-03,2026-06-04,92.7,1,delayed
SHIP-50089,ORD-10089,Supplier C,WH-Midwest,2026-06-03,2026-06-03,96.5,0,delivered
SHIP-50090,ORD-10090,Supplier D,WH-Pacific,2026-06-03,2026-06-03,96.3,0,delivered
SHIP-50091,ORD-10091,Supplier B,WH-Southern,2026-06-03,2026-06-03,93.1,0,delivered
SHIP-50092,ORD-10092,Supplier A,WH-Pacific,2026-06-03,2026-06-03,97.8,0,delivered
SHIP-50093,ORD-10093,Supplier B,WH-Midwest,2026-06-03,2026-06-03,95.1,0,delivered
SHIP-50094,ORD-10094,Supplier D,WH-Midwest,2026-06-03,2026-06-03,99.4,0,delivered
SHIP-50095,ORD-10095,Supplier B,WH-Southern,2026-06-03,2026-06-03,94.9,0,delivered
SHIP-50096,ORD-10096,Supplier D,WH-Midwest,2026-06-03,2026-06-03,95.0,0,delivered
SHIP-50097,ORD-10097,Supplier A,WH-Southern,2026-06-03,2026-06-03,92.8,0,delivered
SHIP-50098,ORD-10098,Supplier C,WH-Southern,2026-06-03,2026-06-03,93.5,0,delivered
SHIP-50099,ORD-10099,Supplier A,WH-Pacific,2026-06-03,2026-06-03,93.3,0,delivered
SHIP-50100,ORD-10100,Supplier C,WH-Southern,2026-06-03,2026-06-03,96.4,0,delivered
SHIP-50101,ORD-10101,Supplier D,WH-Midwest,2026-06-03,2026-06-03,94.9,0,delivered
SHIP-50102,ORD-10102,Supplier C,WH-Atlantic,2026-06-03,2026-06-03,97.4,0,delivered
SHIP-50103,ORD-10103,Supplier D,WH-Atlantic,2026-06-03,2026-06-03,94.5,0,delivered
SHIP-50104,ORD-10104,Supplier A,WH-Atlantic,2026-06-03,2026-06-03,94.6,0,delivered
SHIP-50105,ORD-10105,Supplier C,WH-Atlantic,2026-06-03,2026-06-03,97.5,0,delivered
SHIP-50106,ORD-10106,Supplier C,WH-Midwest,2026-06-03,2026-06-03,93.7,0,delivered
SHIP-50107,ORD-10107,Supplier A,WH-Southern,2026-06-03,2026-06-03,97.2,0,delivered
SHIP-50108,ORD-10108,Supplier D,WH-Southern,2026-06-03,2026-06-03,97.9,0,delivered
SHIP-50109,ORD-10109,Supplier B,WH-Southern,2026-06-03,2026-06-03,96.0,0,delivered
SHIP-50110,ORD-10110,Supplier A,WH-Atlantic,2026-06-03,2026-06-03,92.6,0,delivered
SHIP-50111,ORD-10111,Supplier A,WH-Pacific,2026-06-03,2026-06-03,94.8,0,delivered
SHIP-50112,ORD-10112,Supplier A,WH-Southern,2026-06-03,2026-06-03,98.2,0,delivered
SHIP-50113,ORD-10113,Supplier A,WH-Midwest,2026-06-03,2026-06-03,95.2,0,delivered
SHIP-50114,ORD-10114,Supplier A,WH-Pacific,2026-06-03,2026-06-03,96.7,0,delivered
SHIP-50115,ORD-10115,Supplier A,WH-Southern,2026-06-03,2026-06-03,94.7,0,delivered
SHIP-50116,ORD-10116,Supplier D,WH-Midwest,2026-06-03,2026-06-03,94.6,0,delivered
SHIP-50117,ORD-10117,Supplier A,WH-Southern,2026-06-03,2026-06-03,95.6,0,delivered
SHIP-50118,ORD-10118,Supplier A,WH-Southern,2026-06-03,2026-06-03,99.4,0,delivered
SHIP-50119,ORD-10119,Supplier C,WH-Southern,2026-06-03,2026-06-03,94.8,0,delivered
SHIP-50120,ORD-10120,Supplier B,WH-Atlantic,2026-06-03,2026-06-03,97.5,0,delivered
SHIP-50121,ORD-10121,Supplier A,WH-Midwest,2026-06-03,2026-06-03,97.2,0,delivered
SHIP-50122,ORD-10122,Supplier C,WH-Midwest,2026-06-03,2026-06-03,99.1,0,delivered
SHIP-50123,ORD-10123,Supplier A,WH-Pacific,2026-06-03,2026-06-03,97.1,0,delivered
SHIP-50124,ORD-10124,Supplier B,WH-Southern,2026-06-03,2026-06-03,95.7,0,delivered
SHIP-50125,ORD-10125,Supplier D,WH-Pacific,2026-06-03,2026-06-03,98.4,0,delivered
SHIP-50126,ORD-10126,Supplier C,WH-Midwest,2026-06-03,2026-06-03,97.3,0,delivered
SHIP-50127,ORD-10127,Supplier B,WH-Pacific,2026-06-03,2026-06-03,98.0,0,delivered
SHIP-50128,ORD-10128,Supplier D,WH-Atlantic,2026-06-03,2026-06-03,96.8,0,delivered
SHIP-50129,ORD-10129,Supplier B,WH-Pacific,2026-06-03,2026-06-03,93.2,0,delivered
SHIP-50130,ORD-10130,Supplier A,WH-Southern,2026-06-03,2026-06-03,95.8,0,delivered
SHIP-50131,ORD-10131,Supplier A,WH-Midwest,2026-06-03,2026-06-03,96.8,0,delivered
SHIP-50132,ORD-10132,Supplier D,WH-Pacific,2026-06-03,2026-06-05,95.1,2,delayed
SHIP-50133,ORD-10133,Supplier C,WH-Southern,2026-06-03,2026-06-03,93.8,0,delivered
SHIP-50134,ORD-10134,Supplier A,WH-Midwest,2026-06-03,2026-06-03,98.8,0,delivered
SHIP-50135,ORD-10135,Supplier D,WH-Atlantic,2026-06-03,2026-06-03,99.3,0,delivered
SHIP-50136,ORD-10136,Supplier C,WH-Atlantic,2026-06-03,2026-06-03,93.0,0,delivered
SHIP-50137,ORD-10137,Supplier A,WH-Atlantic,2026-06-03,2026-06-03,95.4,0,delivered
SHIP-50138,ORD-10138,Supplier D,WH-Southern,2026-06-03,2026-06-03,96.5,0,delivered
SHIP-50139,ORD-10139,Supplier B,WH-Southern,2026-06-03,2026-06-03,96.6,0,delivered
SHIP-50140,ORD-10140,Supplier C,WH-Atlantic,2026-06-03,2026-06-03,98.0,0,delivered
SHIP-50141,ORD-10141,Supplier B,WH-Midwest,2026-06-03,2026-06-03,94.9,0,delivered
SHIP-50142,ORD-10142,Supplier B,WH-Midwest,2026-06-03,2026-06-03,97.8,0,delivered
SHIP-50143,ORD-10143,Supplier C,WH-Atlantic,2026-06-03,2026-06-03,94.7,0,delivered
SHIP-50144,ORD-10144,Supplier B,WH-Southern,2026-06-03,2026-06-03,93.6,0,delivered
SHIP-50145,ORD-10145,Supplier C,WH-Southern,2026-06-03,2026-06-03,97.8,0,delivered
SHIP-50146,ORD-10146,Supplier C,WH-Atlantic,2026-06-03,2026-06-03,97.2,0,delivered
SHIP-50147,ORD-10147,Supplier B,WH-Pacific,2026-06-03,2026-06-03,93.0,0,delivered
SHIP-50148,ORD-10148,Supplier D,WH-Pacific,2026-06-03,2026-06-03,92.7,0,delivered
SHIP-50149,ORD-10149,Supplier D,WH-Pacific,2026-06-03,2026-06-03,99.0,0,delivered
SHIP-50150,ORD-10150,Supplier C,WH-Midwest,2026-06-03,2026-06-03,98.7,0,delivered
SHIP-50151,ORD-10151,Supplier B,WH-Midwest,2026-06-03,2026-06-05,97.9,2,delayed
SHIP-50152,ORD-10152,Supplier D,WH-Southern,2026-06-03,2026-06-03,93.9,0,delivered
SHIP-50153,ORD-10153,Supplier C,WH-Southern,2026-06-03,2026-06-03,97.0,0,delivered
SHIP-50154,ORD-10154,Supplier A,WH-Southern,2026-06-03,2026-06-03,97.6,0,delivered
SHIP-50155,ORD-10155,Supplier B,WH-Midwest,2026-06-03,2026-06-04,96.3,1,delayed
SHIP-50156,ORD-10156,Supplier B,WH-Atlantic,2026-06-03,2026-06-03,95.4,0,delivered
SHIP-50157,ORD-10157,Supplier D,WH-Southern,2026-06-03,2026-06-03,92.5,0,delivered
SHIP-50158,ORD-10158,Supplier C,WH-Atlantic,2026-06-03,2026-06-03,94.8,0,delivered
SHIP-50159,ORD-10159,Supplier A,WH-Pacific,2026-06-03,2026-06-03,97.5,0,delivered
SHIP-50160,ORD-10160,Supplier D,WH-Atlantic,2026-06-03,2026-06-03,99.0,0,delivered
SHIP-50161,ORD-10161,Supplier B,WH-Pacific,2026-06-04,2026-06-04,93.8,0,delivered
SHIP-50162,ORD-10162,Supplier A,WH-Pacific,2026-06-04,2026-06-04,96.5,0,delivered
SHIP-50163,ORD-10163,Supplier B,WH-Pacific,2026-06-04,2026-06-04,96.7,0,delivered
SHIP-50164,ORD-10164,Supplier D,WH-Southern,2026-06-04,2026-06-04,95.6,0,delivered
SHIP-50165,ORD-10165,Supplier A,WH-Atlantic,2026-06-04,2026-06-04,92.6,0,delivered
SHIP-50166,ORD-10166,Supplier A,WH-Southern,2026-06-04,2026-06-04,97.4,0,delivered
SHIP-50167,ORD-10167,Supplier C,WH-Midwest,2026-06-04,2026-06-04,95.6,0,delivered
SHIP-50168,ORD-10168,Supplier C,WH-Southern,2026-06-04,2026-06-04,95.5,0,delivered
SHIP-50169,ORD-10169,Supplier C,WH-Southern,2026-06-04,2026-06-04,96.4,0,delivered
SHIP-50170,ORD-10170,Supplier C,WH-Pacific,2026-06-04,2026-06-04,97.7,0,delivered
SHIP-50171,ORD-10171,Supplier C,WH-Pacific,2026-06-04,2026-06-04,95.9,0,delivered
SHIP-50172,ORD-10172,Supplier D,WH-Pacific,2026-06-04,2026-06-04,95.4,0,delivered
SHIP-50173,ORD-10173,Supplier A,WH-Atlantic,2026-06-04,2026-06-04,97.2,0,delivered
SHIP-50174,ORD-10174,Supplier B,WH-Pacific,2026-06-04,2026-06-04,94.8,0,delivered
SHIP-50175,ORD-10175,Supplier A,WH-Midwest,2026-06-04,2026-06-04,97.3,0,delivered
SHIP-50176,ORD-10176,Supplier A,WH-Pacific,2026-06-04,2026-06-04,98.7,0,delivered
SHIP-50177,ORD-10177,Supplier A,WH-Pacific,2026-06-04,2026-06-04,96.3,0,delivered
SHIP-50178,ORD-10178,Supplier B,WH-Midwest,2026-06-04,2026-06-04,94.6,0,delivered
SHIP-50179,ORD-10179,Supplier C,WH-Atlantic,2026-06-04,2026-06-04,96.4,0,delivered
SHIP-50180,ORD-10180,Supplier A,WH-Southern,2026-06-04,2026-06-04,92.0,0,delivered
SHIP-50181,ORD-10181,Supplier B,WH-Midwest,2026-06-04,2026-06-04,92.7,0,delivered
SHIP-50182,ORD-10182,Supplier C,WH-Atlantic,2026-06-04,2026-06-04,93.3,0,delivered
SHIP-50183,ORD-10183,Supplier C,WH-Atlantic,2026-06-04,2026-06-04,92.6,0,delivered
SHIP-50184,ORD-10184,Supplier D,WH-Midwest,2026-06-04,2026-06-04,98.0,0,delivered
SHIP-50185,ORD-10185,Supplier C,WH-Southern,2026-06-04,2026-06-04,94.2,0,delivered
SHIP-50186,ORD-10186,Supplier D,WH-Southern,2026-06-04,2026-06-04,96.1,0,delivered
SHIP-50187,ORD-10187,Supplier D,WH-Southern,2026-06-04,2026-06-04,95.7,0,delivered
SHIP-50188,ORD-10188,Supplier D,WH-Atlantic,2026-06-04,2026-06-04,98.5,0,delivered
SHIP-50189,ORD-10189,Supplier A,WH-Pacific,2026-06-04,2026-06-04,96.8,0,delivered
SHIP-50190,ORD-10190,Supplier A,WH-Midwest,2026-06-04,2026-06-04,96.4,0,delivered
SHIP-50191,ORD-10191,Supplier A,WH-Southern,2026-06-04,2026-06-04,94.6,0,delivered
SHIP-50192,ORD-10192,Supplier D,WH-Midwest,2026-06-04,2026-06-04,92.9,0,delivered
SHIP-50193,ORD-10193,Supplier B,WH-Pacific,2026-06-04,2026-06-04,93.4,0,delivered
SHIP-50194,ORD-10194,Supplier B,WH-Atlantic,2026-06-04,2026-06-04,97.3,0,delivered
SHIP-50195,ORD-10195,Supplier C,WH-Pacific,2026-06-04,2026-06-04,94.4,0,delivered
SHIP-50196,ORD-10196,Supplier C,WH-Atlantic,2026-06-04,2026-06-04,94.3,0,delivered
SHIP-50197,ORD-10197,Supplier B,WH-Atlantic,2026-06-04,2026-06-04,96.0,0,delivered
SHIP-50198,ORD-10198,Supplier C,WH-Pacific,2026-06-04,2026-06-04,93.5,0,delivered
SHIP-50199,ORD-10199,Supplier D,WH-Atlantic,2026-06-04,2026-06-05,94.2,1,delayed
SHIP-50200,ORD-10200,Supplier D,WH-Atlantic,2026-06-04,2026-06-04,99.4,0,delivered
SHIP-50201,ORD-10201,Supplier D,WH-Midwest,2026-06-04,2026-06-04,98.5,0,delivered
SHIP-50202,ORD-10202,Supplier C,WH-Atlantic,2026-06-04,2026-06-06,96.0,2,delayed
SHIP-50203,ORD-10203,Supplier C,WH-Southern,2026-06-04,2026-06-04,92.4,0,delivered
SHIP-50204,ORD-10204,Supplier B,WH-Southern,2026-06-04,2026-06-04,95.1,0,delivered
SHIP-50205,ORD-10205,Supplier C,WH-Atlantic,2026-06-04,2026-06-04,97.5,0,delivered
SHIP-50206,ORD-10206,Supplier B,WH-Atlantic,2026-06-04,2026-06-04,93.0,0,delivered
SHIP-50207,ORD-10207,Supplier A,WH-Atlantic,2026-06-04,2026-06-04,97.2,0,delivered
SHIP-50208,ORD-10208,Supplier A,WH-Southern,2026-06-04,2026-06-06,97.4,2,delayed
SHIP-50209,ORD-10209,Supplier A,WH-Pacific,2026-06-04,2026-06-04,92.1,0,delivered
SHIP-50210,ORD-10210,Supplier D,WH-Midwest,2026-06-04,2026-06-04,98.6,0,delivered
SHIP-50211,ORD-10211,Supplier A,WH-Pacific,2026-06-04,2026-06-04,95.3,0,delivered
SHIP-50212,ORD-10212,Supplier D,WH-Southern,2026-06-04,2026-06-04,93.9,0,delivered
SHIP-50213,ORD-10213,Supplier B,WH-Pacific,2026-06-04,2026-06-04,95.7,0,delivered
SHIP-50214,ORD-10214,Supplier C,WH-Southern,2026-06-04,2026-06-04,99.2,0,delivered
SHIP-50215,ORD-10215,Supplier C,WH-Pacific,2026-06-04,2026-06-04,97.3,0,delivered
SHIP-50216,ORD-10216,Supplier B,WH-Southern,2026-06-04,2026-06-04,94.5,0,delivered
SHIP-50217,ORD-10217,Supplier B,WH-Midwest,2026-06-04,2026-06-05,92.9,1,delayed
SHIP-50218,ORD-10218,Supplier C,WH-Southern,2026-06-04,2026-06-04,97.8,0,delivered
SHIP-50219,ORD-10219,Supplier D,WH-Atlantic,2026-06-04,2026-06-04,93.9,0,delivered
SHIP-50220,ORD-10220,Supplier A,WH-Midwest,2026-06-04,2026-06-04,98.4,0,delivered
SHIP-50221,ORD-10221,Supplier B,WH-Atlantic,2026-06-04,2026-06-04,95.8,0,delivered
SHIP-50222,ORD-10222,Supplier D,WH-Midwest,2026-06-04,2026-06-06,92.1,2,delayed
SHIP-50223,ORD-10223,Supplier C,WH-Atlantic,2026-06-04,2026-06-04,93.1,0,delivered
SHIP-50224,ORD-10224,Supplier A,WH-Southern,2026-06-04,2026-06-04,96.0,0,delivered
SHIP-50225,ORD-10225,Supplier C,WH-Midwest,2026-06-04,2026-06-04,94.8,0,delivered
SHIP-50226,ORD-10226,Supplier D,WH-Midwest,2026-06-04,2026-06-04,98.4,0,delivered
SHIP-50227,ORD-10227,Supplier D,WH-Southern,2026-06-04,2026-06-04,92.8,0,delivered
SHIP-50228,ORD-10228,Supplier C,WH-Pacific,2026-06-04,2026-06-04,97.1,0,delivered
SHIP-50229,ORD-10229,Supplier B,WH-Midwest,2026-06-04,2026-06-04,98.2,0,delivered
SHIP-50230,ORD-10230,Supplier A,WH-Atlantic,2026-06-04,2026-06-04,93.7,0,delivered
SHIP-50231,ORD-10231,Supplier C,WH-Midwest,2026-06-04,2026-06-04,92.7,0,delivered
SHIP-50232,ORD-10232,Supplier D,WH-Midwest,2026-06-04,2026-06-06,93.3,2,delayed
SHIP-50233,ORD-10233,Supplier D,WH-Pacific,2026-06-04,2026-06-04,95.6,0,delivered
SHIP-50234,ORD-10234,Supplier B,WH-Pacific,2026-06-04,2026-06-04,96.1,0,delivered
SHIP-50235,ORD-10235,Supplier C,WH-Pacific,2026-06-04,2026-06-04,98.1,0,delivered
SHIP-50236,ORD-10236,Supplier A,WH-Pacific,2026-06-04,2026-06-05,96.3,1,delayed
SHIP-50237,ORD-10237,Supplier B,WH-Pacific,2026-06-04,2026-06-04,99.1,0,delivered
SHIP-50238,ORD-10238,Supplier B,WH-Atlantic,2026-06-04,2026-06-04,92.0,0,delivered
SHIP-50239,ORD-10239,Supplier B,WH-Southern,2026-06-04,2026-06-04,95.9,0,delivered
SHIP-50240,ORD-10240,Supplier A,WH-Southern,2026-06-04,2026-06-04,99.2,0,delivered
SHIP-50241,ORD-10241,Supplier B,WH-Atlantic,2026-06-04,2026-06-04,99.1,0,delivered
SHIP-50242,ORD-10242,Supplier B,WH-Midwest,2026-06-04,2026-06-04,94.4,0,delivered
SHIP-50243,ORD-10243,Supplier A,WH-Southern,2026-06-04,2026-06-04,92.4,0,delivered
SHIP-50244,ORD-10244,Supplier D,WH-Atlantic,2026-06-04,2026-06-04,96.9,0,delivered
SHIP-50245,ORD-10245,Supplier A,WH-Southern,2026-06-04,2026-06-04,94.8,0,delivered
SHIP-50246,ORD-10246,Supplier D,WH-Midwest,2026-06-04,2026-06-06,93.5,2,delayed
SHIP-50247,ORD-10247,Supplier C,WH-Pacific,2026-06-04,2026-06-05,95.2,1,delayed
SHIP-50248,ORD-10248,Supplier A,WH-Pacific,2026-06-04,2026-06-04,97.9,0,delivered
SHIP-50249,ORD-10249,Supplier B,WH-Southern,2026-06-04,2026-06-04,94.0,0,delivered
SHIP-50250,ORD-10250,Supplier A,WH-Southern,2026-06-04,2026-06-04,98.3,0,delivered
SHIP-50251,ORD-10251,Supplier D,WH-Southern,2026-06-04,2026-06-04,99.4,0,delivered
SHIP-50252,ORD-10252,Supplier B,WH-Pacific,2026-06-04,2026-06-04,98.2,0,delivered
SHIP-50253,ORD-10253,Supplier A,WH-Atlantic,2026-06-04,2026-06-04,92.1,0,delivered
SHIP-50254,ORD-10254,Supplier D,WH-Pacific,2026-06-04,2026-06-04,94.1,0,delivered
SHIP-50255,ORD-10255,Supplier D,WH-Atlantic,2026-06-04,2026-06-04,96.6,0,delivered
SHIP-50256,ORD-10256,Supplier B,WH-Midwest,2026-06-04,2026-06-04,94.3,0,delivered
SHIP-50257,ORD-10257,Supplier B,WH-Southern,2026-06-04,2026-06-04,96.5,0,delivered
SHIP-50258,ORD-10258,Supplier D,WH-Southern,2026-06-04,2026-06-04,97.9,0,delivered
SHIP-50259,ORD-10259,Supplier B,WH-Midwest,2026-06-04,2026-06-04,94.8,0,delivered
SHIP-50260,ORD-10260,Supplier B,WH-Southern,2026-06-04,2026-06-04,94.6,0,delivered
SHIP-50261,ORD-10261,Supplier A,WH-Atlantic,2026-06-04,2026-06-04,94.0,0,delivered
SHIP-50262,ORD-10262,Supplier B,WH-Pacific,2026-06-04,2026-06-04,97.3,0,delivered
